host,name,ra,dec,redshift
N4536,SN1981B,188.62319,2.1998,0.006031
N4639,SN1990N,190.73617,13.25649,0.003395
N3370,SN1994ae,161.75809,17.27522,0.004273
N3021,SN1995al,147.73321,33.55261,0.00512
N4680,SN1997bp,191.72396,-11.64256,0.008312
N3147,SN1997bq,154.27221,73.38392,0.009346
N3147,SN2008fv,154.23867,73.41011,0.009346
N3147,SN2021hpr,154.16091667,73.4005,0.009346
N3982,SN1998aq,179.10779,55.12867,0.00371
N7541,SN1998dh,348.66796,4.53725,0.00898
N5468,SN1999cp,211.63042,-5.44694,0.00948
N5468,SN2002cr,211.65662,-5.43942,0.00948
N0976,SN1999dq,38.49867,20.97511,0.01433
N2608,SN2001bg,128.82858,28.46828,0.007192
N1448,SN2001el,56.1275,-44.63983,0.003896
N1448,SN2021pit,56.125875,-44.63256944,0.003896
N7678,SN2002dp,352.12667,22.42889,0.011638
N1309,SN2002fk,50.52379,-15.40089,0.007125
U9391,SN2003du,218.64917,59.33439,0.006352
N0691,SN2005W,27.69063,21.75989,0.008893
N5917,SN2005cf,230.38421,-7.41319,0.006384
N1559,SN2005df,64.40771,-62.76931,0.00435
Mrk1337,SN2006D,193.14142,-9.77522,0.008526
N7329,SN2006bh,340.06708,-66.48508,0.010847
N0105,SN2007A,6.31942,12.88681,0.017646
N5584,SN2007af,215.58763,-0.39378,0.005464
N4038,SN2007sr,180.46999,-18.97277,0.005417
N5728,SN2009Y,220.59938,-17.24678,0.009316
N1015,SN2009ig,39.54838,-1.31253,0.00877
N3972,SN2011by,178.93963,55.32556,0.002843
M101,SN2011fe,210.77421,54.27372,0.000804
N4424,SN2012cg,186.80346,9.42033,0.001458
N1365,SN2012fr,53.39996,-36.12714,0.005457
N3447,SN2012ht,163.34479,16.77636,0.003559
N5643,SN2013aa,218.14117,-44.22439,0.003999
N5643,SN2017cbv,218.14,-44.13,0.003999
N7250,SN2013dy,334.57333,40.56933,0.003889
N2442,SN2015F,114.06567,-69.50639,0.00489
N3583,SN2015so,168.54599,48.31868,0.007022
N5861,SN2017erp,227.31171,-11.33422,0.006174
N2525,SN2018gv,121.39421,-11.43786,0.00527
N3254,SN2019np,157.34158,29.51064,0.00452
